WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:8050
Press CTRL+C to quit
127.0.0.1 - - [19/Feb/2026 17:22:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-layout HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-dependencies HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-component-suites/dash/dcc/async-dropdown.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-component-suites/dash/dcc/async-graph.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-component-suites/plotly/package_data/plotly.min.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "POST /_dash-update-component HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-component-suites/dash/dash_table/async-highlight.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Feb/2026 17:22:03] "GET /_dash-component-suites/dash/dash_table/async-table.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Feb/2026 17:22:04] "POST /_dash-update-component HTTP/1.1" 200 -
